nba01,Atlanta,Hawks
nba02,Boston,Celtics
nba03,Charlotte,Bobcats
nba04,Chicago,Bulls
nba05,Cleveland,Cavaliers
nba06,Dallas,Mavericks
nba07,Denver,Nuggets
nba08,Detroit,Pistons
nba09,Golden State,Warriors
nba00,Houston,Rockets
nba11,Indiana,Pacers
nba12,Los Angeles,Clippers
nba13,Los Angeles,Lakers
nba14,Memphis,Grizzlies
nba15,Miami,Heat
nba16,Milwaukee,Bucks
nba17,Minnesota,Timberwolves
nba18,New Jersey,Nets
nba19,New Orleans,Hornets
nba20,New York,Knicks
nba21,Oklahoma City,Thunder
nba22,Orlando,Magic
nba23,Philadelphia,Sixers
nba24,Phoenix,Suns
nba25,Portland,Trail Blazers
nba26,Sacramento,Kings
nba27,San Antonio,Spurs
nba28,Toronto,Raptors
nba29,Utah,Jazz
nba30,Washington,Wizards
